Year,ICD10_Code,ICD10_Description,Classification,Metric_Primary,Metric_Secondary,Metric_Tertiary,Metric_Quaternary,Value
2013/14,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,All ages,54730
2013/14,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,All ages,65470
2013/14,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,All ages,55120
2013/14,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,All ages,24600
2013/14,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,All ages,1110
2013/14,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,All ages,350
2013/14,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,All ages,1590
2013/14,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,All ages,710
2013/14,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,All ages,50
2013/14,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,All ages,720
2013/14,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,All persons,All ages,1240
2013/14,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,All persons,All ages,3550
2013/14,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,All persons,All ages,210
2013/14,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,All persons,All ages,25460
2013/14,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,All persons,All ages,4170
2013/14,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,All persons,All ages,18690
2013/14,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,All persons,All ages,33250
2013/14,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,All persons,All ages,40
2013/14,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,All persons,All ages,2320
2013/14,E24.4,Alcohol-induced pseudo-Cushing’s syndrome,Broad,Other,Wholly attributable,All persons,All ages,10
2013/14,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,All persons,All ages,560
2013/14,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,All persons,All ages,360
2013/14,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,All persons,All ages,60
2013/14,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,All persons,All ages,1070
2013/14,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,All persons,All ages,1940
2013/14,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,All persons,All ages,3800
2013/14,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,All persons,All ages,4180
2013/14,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,All persons,All ages,260
2013/14,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,All persons,All ages,250
2013/14,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,All persons,All ages,150
2013/14,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,All persons,All ages,470
2013/14,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,All persons,All ages,20
2013/14,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,All persons,All ages,50
2013/14,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,All persons,All ages,1140
2013/14,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,All persons,All ages,86650
2013/14,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,All persons,All ages,11380
2013/14,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,All persons,All ages,22090
2013/14,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,All persons,All ages,21040
2013/14,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,All persons,All ages,1230
2013/14,C32,Larynx,Broad,Cancer,Partly attributable chronic,All persons,All ages,1980
2013/14,C50,Breast,Broad,Cancer,Partly attributable chronic,All persons,All ages,28940
2013/14,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,All persons,All ages,51990
2013/14,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,All persons,All ages,432120
2013/14,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,All persons,All ages,71770
